symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
F,2017-07-27 00:00:00+00:00,11.18,11.2,11.03,11.08,37859592,9.336506197,9.3532083548,9.2112400137,9.2529954081,37859592,0.0,1.0
F,2017-07-28 00:00:00+00:00,11.17,11.22,11.06,11.15,24355434,9.3281551181,9.3699105125,9.2362932503,9.3114529603,24355434,0.0,1.0
F,2017-07-31 00:00:00+00:00,11.22,11.23,11.125,11.16,39368288,9.3699105125,9.3782615914,9.2905752631,9.3198040392,39368288,0.0,1.0
F,2017-08-01 00:00:00+00:00,10.95,11.15,10.87,11.11,64993885,9.1444313826,9.3114529603,9.0776227514,9.2780486448,64993885,0.0,1.0
F,2017-08-02 00:00:00+00:00,11.0,11.025,10.93,10.98,30809228,9.186186777,9.2070644742,9.1277292248,9.1694846192,30809228,0.0,1.0
F,2017-08-03 00:00:00+00:00,10.93,11.05,10.92,11.01,20187333,9.1277292248,9.2279421714,9.1193781459,9.1945378559,20187333,0.0,1.0
F,2017-08-04 00:00:00+00:00,10.95,10.99,10.78,10.9,29226342,9.1444313826,9.1778356981,9.0024630415,9.1026759881,29226342,0.0,1.0
F,2017-08-07 00:00:00+00:00,10.92,10.98,10.9,10.94,34920187,9.1193781459,9.1694846192,9.1026759881,9.1360803037,34920187,0.0,1.0
F,2017-08-08 00:00:00+00:00,10.89,11.0,10.88,10.95,25907656,9.0943249092,9.186186777,9.0859738303,9.1444313826,25907656,0.0,1.0
F,2017-08-09 00:00:00+00:00,10.92,10.95,10.83,10.88,31999221,9.1193781459,9.1444313826,9.0442184359,9.0859738303,31999221,0.0,1.0
F,2017-08-10 00:00:00+00:00,10.77,10.91,10.77,10.88,31714230,8.9941119626,9.111027067,8.9941119626,9.0859738303,31714230,0.0,1.0
F,2017-08-11 00:00:00+00:00,10.77,10.84,10.76,10.79,32134748,8.9941119626,9.0525695148,8.9857608837,9.0108141203,32134748,0.0,1.0
F,2017-08-14 00:00:00+00:00,10.91,10.95,10.79,10.82,25936886,9.111027067,9.1444313826,9.0108141203,9.035867357,25936886,0.0,1.0
F,2017-08-15 00:00:00+00:00,10.84,11.0,10.835,10.92,28697335,9.0525695148,9.186186777,9.0483939753,9.1193781459,28697335,0.0,1.0
F,2017-08-16 00:00:00+00:00,10.8,10.9,10.78,10.86,27949465,9.0191651992,9.1026759881,9.0024630415,9.0692716726,27949465,0.0,1.0
F,2017-08-17 00:00:00+00:00,10.64,10.8,10.6,10.79,34821644,8.885547937,9.0191651992,8.8521436215,9.0108141203,34821644,0.0,1.0
F,2017-08-18 00:00:00+00:00,10.56,10.63,10.47,10.62,43178110,8.8187393059,8.8771968581,8.7435795959,8.8688457792,43178110,0.0,1.0
F,2017-08-21 00:00:00+00:00,10.57,10.655,10.52,10.53,29057067,8.8270903848,8.8980745554,8.7853349904,8.7936860693,29057067,0.0,1.0
F,2017-08-22 00:00:00+00:00,10.65,10.73,10.61,10.61,28384403,8.8938990159,8.960707647,8.8604947004,8.8604947004,28384403,0.0,1.0
F,2017-08-23 00:00:00+00:00,10.71,10.78,10.59,10.61,35065306,8.9440054892,9.0024630415,8.8437925426,8.8604947004,35065306,0.0,1.0
F,2017-08-24 00:00:00+00:00,10.71,10.8,10.69,10.75,33284434,8.9440054892,9.0191651992,8.9273033315,8.9774098048,33284434,0.0,1.0
F,2017-08-25 00:00:00+00:00,10.82,10.88,10.76,10.77,35600564,9.035867357,9.0859738303,8.9857608837,8.9941119626,35600564,0.0,1.0
F,2017-08-28 00:00:00+00:00,10.79,10.88,10.73,10.86,21921685,9.0108141203,9.0859738303,8.960707647,9.0692716726,21921685,0.0,1.0
F,2017-08-29 00:00:00+00:00,10.84,10.89,10.73,10.75,29680097,9.0525695148,9.0943249092,8.960707647,8.9774098048,29680097,0.0,1.0
F,2017-08-30 00:00:00+00:00,10.94,10.94,10.77,10.82,23272742,9.1360803037,9.1360803037,8.9941119626,9.035867357,23272742,0.0,1.0
F,2017-08-31 00:00:00+00:00,11.03,11.2,10.95,10.97,53581592,9.2112400137,9.3532083548,9.1444313826,9.1611335403,53581592,0.0,1.0
F,2017-09-01 00:00:00+00:00,11.35,11.43,11.14,11.18,64336525,9.4784745381,9.5452831692,9.3031018814,9.336506197,64336525,0.0,1.0
F,2017-09-05 00:00:00+00:00,11.36,11.39,11.24,11.36,44000160,9.486825617,9.5118788536,9.3866126703,9.486825617,44000160,0.0,1.0
F,2017-09-06 00:00:00+00:00,11.5,11.53,11.389,11.39,42721676,9.6037407214,9.6287939581,9.5110437457,9.5118788536,42721676,0.0,1.0
F,2017-09-07 00:00:00+00:00,11.4,11.52,11.33,11.52,30092012,9.5202299325,9.6204428792,9.4617723803,9.6204428792,30092012,0.0,1.0
F,2017-09-08 00:00:00+00:00,11.36,11.39,11.29,11.34,26467001,9.486825617,9.5118788536,9.4283680648,9.4701234592,26467001,0.0,1.0
F,2017-09-11 00:00:00+00:00,11.41,11.45,11.38,11.4,42981293,9.5285810114,9.561985327,9.5035277747,9.5202299325,42981293,0.0,1.0
F,2017-09-12 00:00:00+00:00,11.59,11.67,11.39,11.43,41122017,9.6789004314,9.7457090625,9.5118788536,9.5452831692,41122017,0.0,1.0
F,2017-09-13 00:00:00+00:00,11.62,11.63,11.52,11.6,23153794,9.7039536681,9.712304747,9.6204428792,9.6872515103,23153794,0.0,1.0
F,2017-09-14 00:00:00+00:00,11.56,11.68,11.48,11.6,31415642,9.6538471947,9.7540601414,9.5870385636,9.6872515103,31415642,0.0,1.0
F,2017-09-15 00:00:00+00:00,11.62,11.63,11.49,11.54,30203701,9.7039536681,9.712304747,9.5953896425,9.637145037,30203701,0.0,1.0
F,2017-09-18 00:00:00+00:00,11.63,11.73,11.595,11.63,24531367,9.712304747,9.7958155358,9.6830759708,9.712304747,24531367,0.0,1.0
F,2017-09-19 00:00:00+00:00,11.72,11.74,11.62,11.63,26211365,9.7874644569,9.8041666147,9.7039536681,9.712304747,26211365,0.0,1.0
F,2017-09-20 00:00:00+00:00,11.71,11.795,11.635,11.68,26056593,9.7791133781,9.8500975486,9.7164802864,9.7540601414,26056593,0.0,1.0
F,2017-09-21 00:00:00+00:00,11.72,11.82,11.69,11.71,40222527,9.7874644569,9.8709752458,9.7624112203,9.7791133781,40222527,0.0,1.0
F,2017-09-22 00:00:00+00:00,11.84,11.87,11.72,11.74,30098347,9.8876774036,9.9127306403,9.7874644569,9.8041666147,30098347,0.0,1.0
F,2017-09-25 00:00:00+00:00,11.94,12.06,11.84,11.88,40415974,9.9711881925,10.0714011391,9.8876774036,9.9210817192,40415974,0.0,1.0
F,2017-09-26 00:00:00+00:00,11.93,12.0,11.9,11.95,30508643,9.9628371136,10.0212946658,9.9377838769,9.9795392714,30508643,0.0,1.0
F,2017-09-27 00:00:00+00:00,11.95,12.02,11.86,11.98,27400551,9.9795392714,10.0379968236,9.9043795614,10.004592508,27400551,0.0,1.0
F,2017-09-28 00:00:00+00:00,11.96,11.99,11.9,11.95,22187272,9.9878903503,10.0129435869,9.9377838769,9.9795392714,22187272,0.0,1.0
